unique_id,ds,y,Autoformer,LSTM,NHITS,BiTCN,DeepAR,KAN,MLP,NBEATS,PatchTST,TCN,TFT,cutoff_value,position
NVDA,2024-09-03 15:20:00-04:00,108.51,109.47756,109.28307,109.2344,108.95741,109.398766,108.00902,109.22996,109.15937,108.97084,113.04134,109.011566,109.0069,3
NVDA,2024-09-03 15:25:00-04:00,108.3,109.66794,109.2842,109.33699,108.97489,109.48136,108.01323,109.39445,109.23023,108.994194,112.78986,109.013374,109.0069,4
NVDA,2024-09-03 15:30:00-04:00,107.815,109.60904,109.339134,109.38488,108.95572,109.63429,108.06316,109.413704,109.292114,109.01924,113.00792,109.012375,109.0069,5
NVDA,2024-09-03 15:35:00-04:00,108.05,109.980255,108.07191,107.946655,108.00053,107.80498,107.94934,107.907425,107.96507,107.85921,112.85812,107.72326,107.815,0
NVDA,2024-09-03 15:40:00-04:00,108.055,110.50413,107.9812,107.943375,108.0017,107.88154,108.06095,107.90687,107.93141,107.80583,112.33566,107.74563,107.815,1
NVDA,2024-09-03 15:45:00-04:00,107.94,111.01829,108.08794,107.95713,108.03722,108.0158,108.16819,108.01971,107.94134,107.8063,112.74411,107.74876,107.815,2
NVDA,2024-09-03 15:50:00-04:00,108.065,111.322876,108.09402,107.91938,108.05858,108.10027,108.19667,108.09133,107.91604,107.75767,112.83252,107.74818,107.815,3
NVDA,2024-09-03 15:55:00-04:00,108.02,111.36708,108.07759,107.92233,108.02977,108.105934,108.188934,108.06084,107.85778,107.780785,112.57518,107.74573,107.815,4
NVDA,2024-09-03 16:00:00-04:00,107.85,110.70434,108.1458,107.91885,108.03745,108.12139,108.202126,108.15668,107.99018,107.804115,112.8254,107.74353,107.815,5
NVDA,2024-09-03 16:05:00-04:00,107.74,107.50909,108.00748,107.79242,107.890434,107.80655,108.08301,107.837875,107.81265,107.8516,112.69584,107.807976,107.85,0
NVDA,2024-09-03 16:10:00-04:00,107.4,107.45235,107.921074,107.84038,107.90166,107.82803,108.131935,107.840454,107.96033,107.81811,112.13658,107.82297,107.85,1
NVDA,2024-09-03 16:15:00-04:00,107.25,107.70452,108.03207,107.90718,107.90476,107.89141,108.22393,107.88569,108.044044,107.799225,112.56835,107.82077,107.85,2
